event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
3519,alloc,2134,7190428,7413760,0.969876,90852,132480
3520,alloc,3035,7193464,7417856,0.969750,91848,132544
3521,alloc,3293,7196760,7421952,0.969659,92584,132608
3522,alloc,1927,7198688,7421952,0.969918,90624,132640
3523,alloc,3206,7201896,7426048,0.969815,91448,132704
3524,alloc,508,7202404,7426048,0.969884,90908,132736
3525,alloc,1329,7203736,7426048,0.970063,89544,132768
3526,alloc,2769,7206508,7430144,0.969902,90804,132832
3527,alloc,3969,7210480,7434240,0.969901,90864,132896
3528,alloc,1752,7212232,7434240,0.970137,89080,132928
3529,alloc,1451,7213684,7434240,0.970332,87596,132960
3530,alloc,2277,7215964,7438336,0.970105,89348,133024
3531,alloc,3278,7219244,7442432,0.970011,90100,133088
3532,alloc,2946,7222192,7446528,0.969874,91184,133152
3533,alloc,40,7222232,7446528,0.969879,91144,133152
3534,alloc,270,7222512,7446528,0.969917,90864,133152
3535,alloc,705,7223220,7446528,0.970012,90156,133152
3536,alloc,1442,7224664,7446528,0.970206,88680,133184
3537,alloc,1392,7226056,7446528,0.970393,87256,133216
3538,alloc,2637,7228696,7450624,0.970214,88648,133280
3539,alloc,258,7228960,7450624,0.970249,88384,133280
3540,alloc,1225,7230220,7450624,0.970418,87124,133280
3541,alloc,3286,7233508,7454720,0.970326,87868,133344
3542,alloc,3890,7237400,7458816,0.970315,88008,133408
3543,alloc,1086,7238488,7458816,0.970461,86888,133440
3544,alloc,3062,7241552,7462912,0.970339,87856,133504
3545,alloc,1620,7243196,7462912,0.970559,86212,133504
3546,alloc,2892,7246088,7467008,0.970414,87352,133568
3547,alloc,2077,7248168,7471104,0.970160,89304,133632
3548,alloc,988,7249164,7471104,0.970294,88308,133632
3549,alloc,3835,7253000,7475200,0.970275,88504,133696
3550,alloc,246,7253248,7475200,0.970308,88256,133696
3551,alloc,1492,7254740,7475200,0.970508,86732,133728
3552,alloc,339,7255096,7475200,0.970555,86376,133728
3553,alloc,185,7255288,7475200,0.970581,86184,133728
3554,alloc,3907,7259196,7479296,0.970572,86308,133792
3555,alloc,1386,7260584,7479296,0.970758,84888,133824
3556,alloc,2059,7262644,7483392,0.970502,86860,133888
3557,alloc,217,7262864,7483392,0.970531,86640,133888
3558,alloc,321,7263188,7483392,0.970574,86316,133888
3559,alloc,1225,7264416,7483392,0.970738,85056,133920
3560,alloc,413,7264840,7483392,0.970795,84632,133920
3561,alloc,3182,7268024,7487488,0.970689,85480,133984
