event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4196,alloc,1335,8575424,9785344,0.876354,1017632,192288
4197,alloc,2492,8577916,9789440,0.876242,1019172,192352
4198,alloc,3022,8580940,9793536,0.876184,1020180,192416
4199,alloc,3224,8584164,9797632,0.876147,1020988,192480
4200,alloc,1476,8585644,9797632,0.876298,1019508,192480
4201,alloc,1255,8586900,9797632,0.876426,1018220,192512
4202,alloc,2374,8589276,9801728,0.876302,1019876,192576
4203,alloc,88,8589364,9801728,0.876311,1019756,192608
4204,alloc,900,8590264,9801728,0.876403,1018824,192640
4205,alloc,1582,8591848,9805824,0.876198,1021272,192704
4206,alloc,1243,8593092,9805824,0.876325,1019996,192736
4207,alloc,2158,8595252,9809920,0.876180,1021868,192800
4208,alloc,4047,8599316,9814016,0.876228,1021868,192832
4209,alloc,224,8599540,9814016,0.876251,1021612,192864
4210,alloc,1520,8601060,9814016,0.876406,1020060,192896
4211,alloc,509,8601572,9814016,0.876458,1019548,192896
4212,alloc,3865,8605440,9818112,0.876486,1019712,192960
4213,alloc,2499,8607940,9822208,0.876375,1021244,193024
4214,alloc,3845,8611788,9826304,0.876402,1021428,193088
4215,alloc,547,8612336,9826304,0.876457,1020848,193120
4216,alloc,1895,8614232,9830400,0.876285,1022984,193184
4217,alloc,2189,8616424,9834496,0.876143,1024824,193248
4218,alloc,4064,8620488,9838592,0.876191,1024824,193280
4219,alloc,4011,8624500,9842688,0.876234,1024844,193344
4220,alloc,4082,8628584,9850880,0.875920,1028888,193408
4221,alloc,1553,8630140,9850880,0.876078,1027300,193440
4222,alloc,573,8630716,9850880,0.876137,1026692,193472
4223,alloc,2163,8632880,9850880,0.876356,1024496,193504
4224,alloc,3594,8636476,9854976,0.876357,1024932,193568
4225,alloc,473,8636952,9854976,0.876405,1024424,193600
4226,alloc,1760,8638712,9854976,0.876584,1022632,193632
4227,alloc,251,8638964,9854976,0.876609,1022348,193664
4228,alloc,1348,8640344,9854976,0.876749,1020968,193664
4229,alloc,3778,8644124,9859072,0.876769,1021220,193728
4230,alloc,2885,8647012,9863168,0.876697,1022364,193792
4231,alloc,989,8648004,9863168,0.876798,1021340,193824
4232,alloc,3577,8651584,9867264,0.876797,1021792,193888
4233,alloc,1929,8653516,9871360,0.876629,1023892,193952
4234,alloc,1177,8654700,9871360,0.876748,1022708,193952
4235,alloc,1382,8656084,9871360,0.876889,1021292,193984
4236,alloc,3157,8659244,9875456,0.876845,1022164,194048
4237,alloc,3023,8662268,9879552,0.876788,1023172,194112
4238,alloc,392,8662660,9879552,0.876827,1022780,194112
4239,alloc,3667,8666328,9883648,0.876835,1023144,194176
