event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4526,alloc,3596,9276856,11022336,0.841642,1517640,227840
4527,alloc,2439,9279296,11026432,0.841550,1519232,227904
4528,alloc,1862,9281160,11030528,0.841407,1521400,227968
4529,alloc,1453,9282616,11030528,0.841539,1519912,228000
4530,alloc,2877,9285496,11034624,0.841487,1521064,228064
4531,alloc,71,9285568,11034624,0.841494,1520960,228096
4532,alloc,995,9286564,11034624,0.841584,1519932,228128
4533,alloc,460,9287024,11034624,0.841626,1519440,228160
4534,alloc,3811,9290836,11038720,0.841659,1519660,228224
4535,alloc,1960,9292796,11042816,0.841524,1521732,228288
4536,alloc,1708,9294504,11042816,0.841679,1519992,228320
4537,alloc,3338,9297844,11046912,0.841669,1520684,228384
4538,alloc,2577,9300424,11051008,0.841591,1522136,228448
4539,alloc,1442,9301876,11051008,0.841722,1520684,228448
4540,alloc,849,9302728,11051008,0.841799,1519800,228480
4541,alloc,1829,9304560,11055104,0.841653,1522000,228544
4542,alloc,2081,9306644,11055104,0.841841,1519884,228576
4543,alloc,1775,9308420,11059200,0.841690,1522140,228640
4544,alloc,989,9309412,11059200,0.841780,1521116,228672
4545,alloc,1503,9310916,11063296,0.841604,1523644,228736
4546,alloc,1636,9312552,11063296,0.841752,1521976,228768
4547,alloc,2479,9315032,11067392,0.841665,1523528,228832
4548,alloc,2722,9317756,11071488,0.841599,1524836,228896
4549,alloc,4012,9321768,11075584,0.841650,1524856,228960
4550,alloc,904,9322672,11075584,0.841732,1523920,228992
4551,alloc,3158,9325832,11079680,0.841706,1524792,229056
4552,alloc,914,9326748,11079680,0.841789,1523844,229088
4553,alloc,3925,9330676,11083776,0.841832,1523948,229152
4554,alloc,1844,9332520,11087872,0.841687,1526136,229216
4555,alloc,2613,9335136,11091968,0.841612,1527552,229280
4556,alloc,2941,9338080,11096064,0.841567,1528640,229344
4557,alloc,2238,9340320,11100160,0.841458,1530432,229408
4558,alloc,284,9340604,11100160,0.841484,1530116,229440
4559,alloc,653,9341260,11100160,0.841543,1529428,229472
4560,alloc,1402,9342664,11100160,0.841669,1527992,229504
4561,alloc,1130,9343796,11100160,0.841771,1526828,229536
4562,alloc,3395,9347192,11104256,0.841767,1527464,229600
4563,alloc,1260,9348452,11108352,0.841570,1530236,229664
4564,alloc,3496,9351948,11112448,0.841574,1530772,229728
4565,alloc,2914,9354864,11116544,0.841526,1531888,229792
4566,alloc,962,9355828,11116544,0.841613,1530892,229824
4567,alloc,1486,9357316,11116544,0.841747,1529372,229856
4568,alloc,1302,9358620,11120640,0.841554,1532100,229920
4569,alloc,3486,9362108,11124736,0.841558,1532644,229984
4570,alloc,1734,9363844,11124736,0.841714,1530876,230016
4571,alloc,1943,9365788,11128832,0.841579,1532964,230080
4572,alloc,3494,9369284,11132928,0.841583,1533500,230144
4573,alloc,897,9370184,11132928,0.841664,1532568,230176
4574,alloc,1825,9372012,11137024,0.841519,1534772,230240
4575,alloc,1645,9373660,11137024,0.841666,1533092,230272
4576,alloc,1951,9375612,11141120,0.841532,1535172,230336
4577,alloc,1508,9377120,11141120,0.841668,1533632,230368
4578,alloc,2808,9379928,11145216,0.841610,1534856,230432
4579,alloc,371,9380300,11145216,0.841644,1534452,230464
4580,alloc,2404,9382704,11149312,0.841550,1536080,230528
